Computing the Shapley Value in Allocation Problems: Approximations and Bounds, with an Application to the Italian VQR Research Assessment Program;Francesco Lupia, Angelo Mendicelli, Andrea Ribichini, Francesco Scarcello, Marco Schaerf;In allocation problems, a given set of goods are assigned to agents in such a way that the social welfare is maximised, that is, the largest possible global worth is achieved. When goods are indivisible, it is possible to use money compensation to perform a fair allocation taking into account the actual contribution of all agents to the social welfare. Coalitional games provide a formal mathematical framework to model such problems, in particular the Shapley value is a solution concept widely used for assigning worths to agents in a fair way. Unfortunately, computing this value is a;https://arxiv.org/abs/1709.04176
Data offloading in mobile edge computing: A coalitional game based pricing approach;Tian Zhang, Wei Chen, Feng Yang;Mobile edge computing (MEC), affords service to the vicinity of mobile devices (MDs), has become a key technology for future network. Offloading big data to the MEC server for preprocessing is a attractive choice of MDs. In the paper, we investigate data offloading from MDs to MEC servers. A coalitional game based pricing scheme is proposed. We apply coalitional game to depict the offloading relationship between MDs and MEC servers, and utilize pricing as the stimuli for the offloading. A scheduled MD chooses one MEC server within the same coalition for offloading, and pays the selected MEC server for the MEC service. We formulate a coalitional game, where MDs and MEC servers are players and their utilities are respectively defined. Next, we analyze the formulated game. Specially, the core is studied. Finally, utility performance of the proposed scheme under the 2-MD and 2-MEC- server scenario are demonstrated.;https://arxiv.org/abs/1709.04148
Learning with Opponent-Learning Awareness;Jakob N. Foerster, Richard Y. Chen, Maruan Al-Shedivat, Shimon Whiteson, Pieter Abbeel, Igor Mordatch;Multi-agent settings are quickly gathering importance in machine learning. Beyond a plethora of recent work on deep multi-agent reinforcement learning, hierarchical reinforcement learning, generative adversarial networks and decentralized optimization can all be seen as instances of this setting. However, the presence of multiple learning agents in these settings renders the training problem non-stationary and often leads to unstable training or undesired final results. We present Learning with Opponent-Learning Awareness (LOLA), a method that reasons about the anticipated learning of the other agents. The LOLA learning rule includes an additional term that accounts for the impact of the agent's policy on the anticipated parameter update of the other agents. We show that the LOLA update rule can be efficiently calculated using an extension of the likelihood ratio policy gradient update, making the method suitable for model-free reinforcement learning. This method thus scales to large parameter and input spaces and nonlinear function approximators. Preliminary results show that the encounter of two LOLA agents leads to the emergence of tit-for-tat and therefore cooperation in the infinitely iterated prisoners' dilemma, while independent learning does not. In this domain, LOLA also receives higher payouts compared to a naive learner, and is robust against exploitation by higher order gradient-based methods. Applied to infinitely repeated matching pennies, only LOLA agents converge to the Nash equilibrium. We also apply LOLA to a grid world task with an embedded social dilemma using deep recurrent policies. Again, by considering the learning of the other agent, LOLA agents learn to cooperate out of selfish interests.;https://arxiv.org/abs/1709.04326
Models and Framework for Adversarial Attacks on Complex Adaptive Systems;Vahid Behzadan, Arslan Munir;We introduce the paradigm of adversarial attacks that target the dynamics of Complex Adaptive Systems (CAS). To facilitate the analysis of such attacks, we present multiple approaches to the modeling of CAS as dynamical, data-driven, and game-theoretic systems, and develop quantitative definitions of attack, vulnerability, and resilience in the context of CAS security. Furthermore, we propose a comprehensive set of schemes for classification of attacks and attack surfaces in CAS, complemented with examples of practical attacks. Building on this foundation, we propose a framework based on reinforcement learning for simulation and analysis of attacks on CAS, and demonstrate its performance through three real-world case studies of targeting power grids, destabilization of terrorist organizations, and manipulation of machine learning agents. We also discuss potential mitigation techniques, and remark on future research directions in analysis and design of secure complex adaptive systems.;https://arxiv.org/abs/1709.04137
Enemy At the Gateways: A Game Theoretic Approach to Proxy Distribution;Milad Nasr, Sadegh Farhang, Amir Houmansadr, Jens Grossklags;A core technique used by popular proxy-based circumvention systems like Tor, Psiphon, and Lantern is to secretly share the IP addresses of circumvention proxies with the censored clients for them to be able to use such systems. For instance, such secretly shared proxies are known as bridges in Tor. However, a key challenge to this mechanism is the insider attack problem: censoring agents can impersonate as benign censored clients in order to obtain (and then block) such secretly shared circumvention proxies.;https://arxiv.org/abs/1709.04030
Certified Computation in Crowdsourcing;Themis Gouleakis, Christos Tzamos, Manolis Zampetakis;A wide range of learning tasks require human input in labeling massive data. For this labeling and because of the quantity of the data, crowdsourcing has become very crucial. The collected data though are usually low quality as workers are not appropriately incentivized to put effort. Significant research has focused on designing appropriate incentive schemes but do not capture the full range of tasks that appear in practice. Moreover, even if incentives are theoretically aligned noise in the data can still exist because it is hard to model exactly how workers will behave.;https://arxiv.org/abs/1709.03926
Finite-state Strategies in Delay Games;Martin Zimmermann (Saarland University);What is a finite-state strategy in a delay game? We answer this surprisingly non-trivial question and present a very general framework for computing such strategies: they exist for all winning conditions that are recognized by automata with acceptance conditions that satisfy a certain aggregation property. Our framework also yields upper bounds on the complexity of determining the winner of such delay games and upper bounds on the necessary lookahead to win the game. In particular, we cover all previous results of that kind as special cases of our uniform approach.;https://arxiv.org/abs/1709.03539
On Revenue Monotonicity in Combinatorial Auctions;Andrew Chi-Chih Yao;Along with substantial progress made recently in designing near-optimal mechanisms for multi-item auctions, interesting structural questions have also been raised and studied. In particular, is it true that the seller can always extract more revenue from a market where the buyers value the items higher than another market? In this paper we obtain such a revenue monotonicity result in a general setting. Precisely, consider the revenue-maximizing combinatorial auction for m items and n buyers in the Bayesian setting, specified by a valuation function v and a set F of nm independent item-type distributions. Let REV(v,F) denote the maximum revenue achievable under F by any incentive compatible mechanism. Intuitively, one would expect that REV(v,G)?REV(v,F) if distribution G stochastically dominates F. Surprisingly, Hart and Reny (2012) showed that this is not always true even for the simple case when v is additive. A natural question arises: Are these deviations contained within bounds? To what extent may the monotonicity intuition still be valid? We present an {approximate monotonicity} theorem for the class of fractionally subadditive (XOS) valuation functions v, showing that REV(v,G)?cREV(v,F) if G stochastically dominates F under v where c>0 is a universal constant. Previously, approximate monotonicity was known only for the case n=1: Babaioff et al. (2014) for the class of additive valuations, and Rubinstein and Weinberg (2015) for all subaddtive valuation functions.;https://arxiv.org/abs/1709.03223
When to arrive at a queue with earliness, tardiness and waiting costs;Eliran Sherzer, Yoav Kerner;We consider a queueing facility where customers decide when to arrive. All customers have the same desired arrival time (w.l.o.g.\ time zero). There is one server, and the service times are independent and exponentially distributed. The total number of customers that demand service is random, and follows the Poisson distribution. Each customer wishes to minimize the sum of three costs: earliness, tardiness and waiting. We assume that all three costs are linear with time and are defined as follows. Earliness is the time between arrival and time zero, if there is any. Tardiness is simply the time of entering service, if it is after time zero. Waiting time is the time from arrival until entering service. We focus on customers' rational behaviour, assuming that each customer wants to minimize his total cost, and in particular, we seek a symmetric Nash equilibrium strategy. We show that such a strategy is mixed, unless trivialities occur. We construct a set of equations that its solution provides the symmetric Nash equilibrium. The solution is a continuous distribution on the real line. We also compare the socially optimal solution (that is, the one that minimizes total cost across all customers) to the overall cost resulting from the Nash equilibrium.;https://arxiv.org/abs/1709.03374
Prosocial learning agents solve generalized Stag Hunts better than selfish ones;Alexander Peysakhovich, Adam Lerer;There is much interest in applying reinforcement learning methods to multi-agent systems. A popular way to do so is the method of reactive training -- ie. treating other agents as if they are a stationary part of the learner's environment. Dyads of such learners, if they converge, will converge to Nash equilibria of the game. However, there is an important game theoretic issue here: positive-sum games can have multiple equilibria which differ in their payoffs. We show that even in simple coordination games reactive reinforcement learning agents will often coordinate on equilibria with suboptimal payoffs for both agents. We also show that receiving utility from rewards other agents receive - ie. having prosocial preferences - leads agents to converging to better equilibria in a class of generalized Stag Hunt games. We show this analytically for matrix games and experimentally for more complex Markov versions. Importantly, this is true even if only one of the agents has social preferences. This implies that even if an agent designer only controls a single agent out of a dyad and only cares about their agent's payoff, it can still be better for the designer to make the agent prosocial rather than selfish.;https://arxiv.org/abs/1709.02865
