Saddle-point theorems for the generalized cone-convex optimizations of set-valued functions;Renying Zeng;This paper works with preconvexlike set-valued vector optimization problems in topological linear spaces. A Fakas-Minkowski alternative theorem, a scalarization theorem, some vector saddle-point theorems and some scalar saddle point theorem are proved.;https://arxiv.org/abs/1709.04892
Control-Oriented Learning on the Fly;Melkior Ornik, Arie Israel, Ufuk Topcu;This paper focuses on developing a strategy for satisfying basic control objectives for systems whose dynamics are almost entirely unknown. This situation arises naturally in a scenario where a system undergoes a critical failure, thus significantly changing its dynamics. In that case, it is imperative to retain the ability to satisfy basic control objectives in order to avert an imminent catastrophe. A prime example of such an objective is the reach-avoid problem, where a system needs to move to a certain state in a constrained state space. To deal with significant restrictions on our knowledge of system dynamics, we develop a theory of myopic control. The primary goal of myopic control is to, at any given time, optimize the current direction of the system trajectory, given solely the limited information obtained about the system until that time. Building upon this notion, we propose a control algorithm which simultaneously uses small perturbations in the control effort to learn local system dynamics while moving in the direction which seems to be optimal based on previously obtained knowledge. We prove that the algorithm results in a trajectory that is nearly optimal in the myopic sense, i.e., it is moving in a direction that seems to be nearly the best at the given time. We provide hard bounds for suboptimality of the proposed algorithm, and show that the algorithm results in a control law that is arbitrarily close to a myopically-optimal control law. We verify the usefulness of the proposed algorithm on a number of simulations based on the running example of a damaged aircraft seeking to land, as well as on a classical example of a Van der Pol oscillator.;https://arxiv.org/abs/1709.04889
The Impact of Local Geometry and Batch Size on the Convergence and Divergence of Stochastic Gradient Descent;Vivak Patel;Stochastic small-batch (SB) methods, such as mini-batch Stochastic Gradient Descent (SGD), have been extremely successful in training neural networks with strong generalization properties. In the work of Keskar et. al (2017), an SB method's success in training neural networks was attributed to the fact it converges to flat minima---those minima whose Hessian has only small eigenvalues---while a large-batch (LB) method converges to sharp minima---those minima whose Hessian has a few large eigenvalues. Commonly, this difference is attributed to the noisier gradients in SB methods that allow SB iterates to escape from sharp minima. While this explanation is intuitive, in this work we offer an alternative mechanism. In this work, we argue that SGD escapes from or converges to minima based on a deterministic relationship between the learning rate, the batch size, and the local geometry of the minimizer. We derive the exact relationships by a rigorous mathematical analysis of the canonical quadratic sums problem. Then, we numerically study how these relationships extend to nonconvex, stochastic optimization problems. As a consequence of this work, we offer a more complete explanation of why SB methods prefer flat minima and LB methods seem agnostic, which can be leveraged to design SB and LB training methods that have tailored optimization properties.;https://arxiv.org/abs/1709.04718
Heuristics with Performance Guarantees for the Minimum Number of Matches Problem in Heat Recovery Network Design;Dimitrios Letsios, Georgia Kouyialis, Ruth Misener;Heat exchanger network synthesis exploits excess heat by integrating process hot and cold streams and improves energy efficiency by reducing utility usage. Determining the minimum number of matches is the bottleneck of designing a heat recovery network using the sequential method. This subproblem is an NP-hard mixed-integer linear program exhibiting combinatorial explosion in the possible hot and cold stream configurations. We explore this challenging optimization problem from a graph theoretic perspective and correlate it with other special optimization problems such as cost flow network and packing problems. In the case of a single temperature interval, we develop a new optimization formulation without problematic big-M parameters. We develop heuristic methods with performance guarantees using three approaches: (i) relaxation rounding, (ii) water filling, and (iii) greedy packing. Numerical results from a collection of 48 instances substantiate the strength of the methods.;https://arxiv.org/abs/1709.04688
A Rewriting System for Convex Optimization Problems;Akshay Agrawal, Robin Verschueren, Steven Diamond, Stephen Boyd;We describe a modular rewriting system for translating optimization problems written in a domain-specific language to forms compatible with low-level solver interfaces. Translation is facilitated by reductions, which accept a category of problems and transform instances of that category to equivalent instances of another category. Our system proceeds in two key phases: analysis, in which we attempt to find a suitable solver for a supplied problem, and canonicalization, in which we rewrite the problem in the selected solver's standard form. We implement the described system in version 1.0 of CVXPY, a domain-specific language for mathematical and especially convex optimization. By treating reductions as first-class objects, our method makes it easy to match problems to solvers well-suited for them and to support solvers with a wide variety of standard forms.;https://arxiv.org/abs/1709.04494
On proximal mappings with Young functions in uniformly convex Banach spaces;Miroslav Bacak, Ulrich Kohlenbach;It is well known in convex analysis that proximal mappings on Hilbert spaces are 1-Lipschitz. In the present paper we show that proximal mappings on uniformly convex Banach spaces are uniformly continuous on bounded sets. Moreover, we introduce a new general proximal mapping whose regularization term is given as a composition of a Young function and the norm, and formulate our results at this level of generality. It is our aim to obtain the corresponding modulus of uniform continuity explicitly in terms of a modulus of uniform convexity of the norm and of moduli witnessing properties of the Young function. We also derive several quantitative results on uniform convexity, which may be of interest on their own.;https://arxiv.org/abs/1709.04700
Scalability Evaluation of NSLP Algorithm for Solving Non-Stationary Linear Programming Problems on Cluster Computing Systems;Irina Sokolinskaya, Leonid B. Sokolinsky;The paper is devoted to a scalability study of the NSLP algorithm for solving non-stationary high-dimension linear programming problem on the cluster computing systems. The analysis is based on the BSF model of parallel computations. The BSF model is a new parallel computation model designed on the basis of BSP and SPMD models. The brief descriptions of the NSLP algorithm and the BSF model are given. The NSLP algorithm implementation in the form of a BSF program is considered. On the basis of the BSF cost metric, the upper bound of the NSLP algorithm scalability is derived and its parallel efficiency is estimated. NSLP algorithm implementation using BSF skeleton is described. A comparison of scalability estimations obtained analytically and experimentally is provided.;https://arxiv.org/abs/1709.04640
Random matrix approach for primal-dual portfolio optimization problems;Daichi Tada, Hisashi Yamamoto, Takashi Shinzato;In this paper, we revisit the portfolio optimization problems of the minimization/maximization of investment risk under constraints of budget and investment concentration (primal problem) and the maximization/minimization of investment concentration under constraints of budget and investment risk (dual problem) for the case that the variances of the return rates of the assets are identical. We analyze both optimization problems by using the Lagrange multiplier method and the random matrix approach. Thereafter, we compare the results obtained from our proposed approach with the results obtained in previous work. Moreover, we use numerical experiments to validate the results obtained from the replica approach and the random matrix approach as methods for analyzing both the primal and dual portfolio optimization problems.;https://arxiv.org/abs/1709.04620
State-Secrecy Codes for Networked Linear Systems;Anastasios Tsiamis, Konstantinos Gatsis, George J. Pappas;In this paper, we study the problem of remote state estimation, in the presence of a passive eavesdropper. An authorized user estimates the state of an unstable linear plant, based on the packets received from a sensor, while the packets may also be intercepted by the eavesdropper. Our goal is to design a coding scheme at the sensor, which encodes the state information, in order to impair the eavesdropper's estimation performance, while enabling the user to successfully decode the sent messages. We introduce a novel class of codes, termed State-Secrecy Codes, which use acknowledgment signals from the user and apply linear time-varying transformations to the current and previously received states. By exploiting the properties of the system's process noise, the channel physical model and the dynamics, these codes manage to be fast, efficient and, thus, suitable for real-time dynamical systems. We prove that under minimal conditions, State-Secrecy Codes achieve perfect secrecy, namely the eavesdropper's estimation error grows unbounded almost surely, while the user's estimation performance is optimal. These conditions only require that at least once, the user receives the corresponding packet while the eavesdropper fails to intercept it. Even one occurrence of this event renders the eavesdropper's error unbounded with asymptotically optimal rate of increase. State-Secrecy Codes are provided and studied for two cases, i) when direct state measurements are available, and ii) when we only have output measurements. The theoretical results are illustrated in simulations.;https://arxiv.org/abs/1709.04530
Alternating minimization and alternating descent over nonconvex sets;Wooseok Ha, Rina Foygel Barber;Many optimization problems in high-dimensional statistics and signal processing involve more than one decision variable to be minimized, where the variables often reflect different structures or components within the signals being considered. Alternating minimization is a widely used method for solving such optimization problems, but the general properties of alternating minimization has not yet been understood well in some settings. In this work, we study and analyze the performance of alternating minimization under the setting where the loss function is optimized over two variables and each variable is restricted to its own constraint set - in particular, we allow these constraints to be potentially nonconvex. Our analysis depends strongly on the notion of local concavity coefficients, which have been recently proposed in Barber and Ha [2017] to measure and quantify the concavity of a general nonconvex set. Our results further reveal important distinctions between alternating and non-alternating methods. Since computing the alternating minimization steps may not be tractable for some problems, we also consider an inexact version of the algorithm and provide a set of sufficient conditions to ensure fast convergence of the inexact algorithms. We demonstrate our framework on two important examples of this type of problem, low rank + sparse decomposition and multitask regression, and provide numerical experiments to validate our theoretical results.;https://arxiv.org/abs/1709.04451
